primary_row,account_code,primary_description,primary_month_sample_F,primary_month_sample_Q,cluster_id,source_status,candidate_source_file,candidate_sheet,candidate_row,candidate_cell_or_column,evidence_summary_nontech,why_not_implemented,manual_check_instruction,implementable_now,needed_action
96,5005026371,"Battery 9V(13,000)",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Hạng mục cần cải tiến,,row-level scan,"fuzzy token: VD: phòng code 1412000006 = ROUND((11*3.19 + 12*11.51+1*153.91+2*2114.25+12*2.25)*26273,0)=120,399,175 (chi phí tổng ở sheet đầu tiên là 120,399,176)",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
97,5005026371,"Pin Energizer AA(26,500/pcs)",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,"fuzzy token: 5001016131 | 材料仕入割戻高 | Chi phí nguyên liệu, vật liệu trực tiếp | 材料費 | Chi phí nguyên vật liệu | 5001016131 | 2016年4月から追加する。",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
98,5005026371,Master SSD購入品費,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,fuzzy token: Cải tiến nhập tự động dữ liệu chung từ các file được cung cấp sẵn vào file Master Plan,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
99,5005026371,Tablet Teclast X4,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 7212 | 170000417 | 0 | 170000417 | Tabletop sives shaker VSS-50 | 1412000012 | Factory (B/2F) | 1412000034 | T Manufacturing Sect | 1412000034 | T Manufacturing,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
100,5005026371,Stick PC DX開発運用使用,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 7307 | 170000666 | 0 | 170000666 | 2LV-3002 MAGNET DLP BLADE STICKING JIG | 1412000006 | Factory (A/1F) | 1412000004 | Machi Manufact 1 Se | 1412000004 | Machi,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
101,5005026371,Stick PC DX開発運用使用,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 7307 | 170000666 | 0 | 170000666 | 2LV-3002 MAGNET DLP BLADE STICKING JIG | 1412000006 | Factory (A/1F) | 1412000004 | Machi Manufact 1 Se | 1412000004 | Machi,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
102,5005026371,Precision Scale/ Can dien tu co do chinh xac cao,=1*2148000,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,メール 明細,619,row-level scan,fuzzy token: tvn230578 | Phạm Văn Cảnh(Pham Van Canh) | canh.pv@dtvn.kyocera.com | メカ製造技術3課 | 1412000089.0 | 1.0,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
103,5005026371,はんだ煙吸引機/May hut khoi han,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,fuzzy token: No | 区分 Category | 資産№ Assets No | 資産テキスト Text | 品目コード Material Code | 取得日 | 耐用年数 Useful life | 管理責任原価センタ Control Cost Center | 管理責任原価センタ名 Control Cost Centre,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
104,5005026371,熱風機/May kho khi,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,"fuzzy token: ② Filter ""code tài khoản chịu chi phí"", ""tên tài khoản chịu chi phí"", ""ghi chú"" trong file MP đối tượng",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
105,5005026371,HP PC購入( EMSで治具リモート使用),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
106,5005026371,Soldering iron sleeve/ Ong bao ve mo han,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,VPN 明細,30,row-level scan,fuzzy token: TVN070407020 | Oi，Hironobu(大井宏信) | MD2課 | 1412000077.0 | 1.0 | 1.0 | 3.19 | 83811.0,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
107,5005026371,HP PCのOS購入( EMSで治具リモート使用),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
108,5005026371,Mạch chuyển USB UART TTL FT232RL/中継基板USB UART TTL FT232RL,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,fuzzy token: 5005076281 | 通関申告費用（製） | Chi phi dịch vụ mua ngoài | 荷造運賃 | Chi phí vận chuyển hàng hóa | 5005076281,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
109,5005026371,A3画像検査装置開発用cable USB 3.0,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,部門別サマリー(VND),3,row-level scan,fuzzy token: 機器製造1課 | 1412000004.0 | 5005246282.0 | 190508676.0 | 83811.0 | - | 5443240.0 | - | 68618245.0 | - | - | 264653972.0 | 26273.0,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
110,5005026371,A3画像検査装置開発用カメラHD(C930e),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
111,5005026371,A3画像検査装置開発用カメラHD(C925e),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
112,5005026371,A3画像検査装置開発用Ardruno Nano,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 37 | 140000053 | 0 | 140000053 | Nano Scan Ns-SI/3.5/1.8 | 1412000006 | Factory (A/1F) | 1412000069 | Ind Engineer 2 Sec | 1412000004 | Machi Manufact 1 Se | 20,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
113,5005026371,A3画像検査装置開発用USB Hub,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
114,5005026371,A3画像検査装置開発用USB cable A to B(50cm),,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 586 | 160000484 | 0 | 160000484 | COVER CABLE | 1412000008 | Lend to Vendor | 1412000022 | Purch Management Sec | 1412000004 | Machi Manufact 1 Se | 2013-07-13,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
115,5005026371,A3画像検査装置開発用Frame金属,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
116,5005026371,"VGA to HDMI 20 cmケーブル（150,000VND／pcs）Cuong＋Hung",,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
117,5005026371,"充電器Cable/ HDMI 2M Ugreen 10202 購入 (370,000/pc)",,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
118,5005026371,Name Tag(ナフ-10R),,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Chi phí phân bổ từ hành chính,,row-level scan,"fuzzy token: - Filter tên tài khoản ""福利厚生費"" (khung xanh dương ở trên) ở cột D ""JP_Name"" khung đỏ ở dưới",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
119,5005026371,"DVDRW Asus (820,000/pc)",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Dự tính chi phí làm giấy tờ cho NNN FY2027.xlsx,FY2027,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$3:B3) | VN000128 | ASAKA HITOSHI | 1412000096 | 5005246286 | 3860000 | =130000+1820000+50000 | Phòng ESD 2",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
120,5005026371,Wifi Router-FCTLogUp使用,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B387) | MFG)MOLD | 160006179 | BRACKET WIFI (K30C0D02H2002MP+5+NEW) | 30C0D02H20 | 2024-01-17 00:00:00 | 002 | 1412000022 | Purch Management Se",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
121,5005026371,ICベース 980020-48-P2,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
122,5005026371,RPA用のサーバーとして使用されるPC/May tinh dung lam may chu RPA,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,メール 明細,474,row-level scan,fuzzy token: tvn130617 | Lê Văn Tình(Le Van Tinh) | tinh.lv@dtvn.kyocera.com | 製品管理課 | 1412000072.0 | 1.0,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
123,5005026371,Tester Fluke 117購入,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B710) | MFG)TOOLS FURNITURE AND FIXTURES | 170001983 | HIPOT TESTER TOS5302 FUSER PITOR | | 2023-03-30 00:00:00 | 003 | 1412000005 | Machi Man",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
124,5005026371,帯電測定器（DZ4）購入:1台,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
125,5005026371,OPTセンサー反射測定治具,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
126,5005026371,"ND Filter6%(780,000)；ND Filter3%(780,000)",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Hạng mục cần cải tiến,,row-level scan,"fuzzy token: VD: phòng code 1412000006 = ROUND((11*3.19 + 12*11.51+1*153.91+2*2114.25+12*2.25)*26273,0)=120,399,175 (chi phí tổng ở sheet đầu tiên là 120,399,176)",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
127,5005026371,新人デスク(1set),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
128,5005026371,新入社員のMOUSE,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
129,5005026371,新人：PCのモニター＋マウス＋電源コード,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
130,5005026371,新人ノートパソコン購入,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
131,,スマホ,,,C_OTHER,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
132,5005116291,Partnerタクシー代,2300000,3000000,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
133,5005116291,宿泊出張費,,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
134,5005116291,Partner出張日当,2710000,170000,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
135,5005116291,出張食事代,3920000,280000,C4_travel_allocation,TEMPLATE_ONLY,raw\FORM.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"exact description: 5005116291 | =IFERROR(IF(VLOOKUP($B150,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B150,勘定科目!$A:$E,2,0)),"""") | =IF(C150="""","""",VLOOKUP($B150,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
136,5005116291,Vendor出張日当('16/1～'17/8月分),,,C4_travel_allocation,TEMPLATE_ONLY,docs\MP2027\old\FORM_old.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"account + fuzzy token: 5005116291 | =IFERROR(IF(VLOOKUP($B129,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B129,勘定科目!$A:$E,2,0)),"""") | =IF(C129="""","""",VLOOKUP($B129,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
137,5005116291,出張食事代(2～8月分+出張時'16/1～'17/1月),,,C4_travel_allocation,TEMPLATE_ONLY,raw\FORM.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"account + fuzzy token: 5005116291 | =IFERROR(IF(VLOOKUP($B150,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B150,勘定科目!$A:$E,2,0)),"""") | =IF(C150="""","""",VLOOKUP($B150,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
138,5005116291,安全重要部品監査出張の日当＋食事(HCMへ出張、KDC負担),,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
139,5005116291,安全重要部品監査出張の日当＋食事(HCMへ出張、KDC負担Debit),,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
140,5005116291,宿泊出張費(Iris2020),,,C4_travel_allocation,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B697) | MFG)TOOLS FURNITURE AND FIXTURES | 170001954 | DRY CABINET FOR DP IRIS2020 LINE | | 2022-11-15 00:00:00 | 003 | 1412000081 | Machi Man",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
141,5005116291,空港〈=>会社 Taxi,,,C4_travel_allocation,PARTIAL_SOURCE_FOUND,raw\FY2027配賦額一覧 (2025.12.29).xlsx,配賦額一覧,,row-level scan,account + fuzzy token: タクシー代 Phí taxi nội địa | 国内交通費 | 5005116291 | 6005116654 | 6005116551 | - | - | 前月16日～当月15日分を翌月に振替する Phân bổ chi phí từ ngày 16 tháng trước đến ngày 15 tháng h,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
142,5005116291,本社へ出張飛行Air Ticket,,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
143,5005116291,日本語受験のタクシー代,,800000,C4_travel_allocation,TEMPLATE_ONLY,docs\MP2027\old\FORM_old.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"exact description: 5005116291 | =IFERROR(IF(VLOOKUP($B128,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B128,勘定科目!$A:$E,2,0)),"""") | =IF(C128="""","""",VLOOKUP($B128,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
144,5005116291,労働許可証取得のタクシー費,,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
146,5005116292,AIR代(日本出張)発券日の翌月振替,,,C4_travel_allocation,PARTIAL_SOURCE_FOUND,raw\FY2027配賦額一覧 (2025.12.29).xlsx,配賦額一覧,,row-level scan,account + fuzzy token: エアーチケット Vé máy bay | 渡航費 | 5005116292 | 6005116655 | 6005116552 | - | - | 発券日の翌月振替 Phân bổ vào tháng kế tiếp sau khi xuất vé ※特別便のみ、発券月に振替 Chỉ các chuyến bay đặ,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
147,5005116292,日当(日本出張),,,C4_travel_allocation,TEMPLATE_ONLY,docs\MP2027\old\FORM_old.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"account + fuzzy token: 5005116292 | =IFERROR(IF(VLOOKUP($B139,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B139,勘定科目!$A:$E,2,0)),"""") | =IF(C139="""","""",VLOOKUP($B139,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
148,5005116292,宿泊費(日本出張),,,C4_travel_allocation,TEMPLATE_ONLY,raw\FORM.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"account + fuzzy token: 5005116292 | =IFERROR(IF(VLOOKUP($B159,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B159,勘定科目!$A:$E,2,0)),"""") | =IF(C159="""","""",VLOOKUP($B159,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
149,5005116292,その他旅費(電話：50*2=100元、石龍-広州：380元),,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
150,5005116292,保険代,,,C4_travel_allocation,EXACT_SOURCE_FOUND,raw\FY2027配賦額一覧 (2025.12.29).xlsx,配賦額一覧,,row-level scan,exact description: 海外渡航保険代 Bảo hiểm nước ngoài | 渡航費 | 5005116292 | 6005116655 | 6005116552 | - | - | 保険証を渡した月に振替（ローカル社員） Phân bổ vào tháng đã trao bảo hiểm (Cho nhân viên địa phư,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,verify source row has CC 1412000040 and monthly values; then plan implementation
151,5005116292,VISA申請費用,,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
152,5005116292,VISA用 写真(The),,,C4_travel_allocation,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,fuzzy token: ③ Nhập dữ liệu từ mục ① vào ② (theo công thức hoặc paster nguyên số),not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
153,5005116292,Hai phong <=> Noi Bai,,,C4_travel_allocation,PARTIAL_SOURCE_FOUND,raw\FY2027配賦額一覧 (2025.12.29).xlsx,配賦額一覧,,row-level scan,fuzzy token: 健康診断（ローカル） Khám sức khỏe (cho CNV nữ) | 福利厚生費 | 5004086291 | 6004086651 | 6004086551 | 12月 | 170100 | /人 女性 | 受診者人数に応じて発生した月に振替します。対象者は7月1日の前の入社員です。 Phân bổ the,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
154,5005116292,一時帰国の経費計上間違い振替,,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
