primary_row,account_code,primary_description,old_source_status,new_classification,generated_match_row,generated_match_item_id,generated_match_description,match_evidence,invariant_keys_used,confidence,action,nontech_reason
132,5005116291,Partnerタクシー代,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
133,5005116291,宿泊出張費,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
134,5005116291,Partner出張日当,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
135,5005116291,出張食事代,TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
136,5005116291,Vendor出張日当('16/1～'17/8月分),TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
137,5005116291,出張食事代(2～8月分+出張時'16/1～'17/1月),TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
138,5005116291,安全重要部品監査出張の日当＋食事(HCMへ出張、KDC負担),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
139,5005116291,安全重要部品監査出張の日当＋食事(HCMへ出張、KDC負担Debit),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
140,5005116291,宿泊出張費(Iris2020),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
141,5005116291,空港〈=>会社 Taxi,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
142,5005116291,本社へ出張飛行Air Ticket,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
143,5005116291,日本語受験のタクシー代,TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
144,5005116291,労働許可証取得のタクシー費,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
146,5005116292,AIR代(日本出張)発券日の翌月振替,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
147,5005116292,日当(日本出張),TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
148,5005116292,宿泊費(日本出張),TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
149,5005116292,その他旅費(電話：50*2=100元、石龍-広州：380元),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
150,5005116292,保険代,EXACT_SOURCE_FOUND,TEMPLATE_ONLY_NOT_SOURCE,,,,same account; known alias 保険代,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real monthly source before coding,Exact text/account evidence is not enough because the source does not prove the Apr-Mar monthly output values.
151,5005116292,VISA申請費用,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
152,5005116292,VISA用 写真(The),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
153,5005116292,Hai phong <=> Noi Bai,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
154,5005116292,一時帰国の経費計上間違い振替,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
155,5005116292,大使館の手数料,TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
156,5005116292,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
158,5005056281,ガス代,EXACT_SOURCE_FOUND,TEMPLATE_ONLY_NOT_SOURCE,,,,same account; known alias ガス代; same business group,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real monthly source before coding,Exact text/account evidence is not enough because the source does not prove the Apr-Mar monthly output values.
159,5005066281,電気代,EXACT_SOURCE_FOUND,ALREADY_GENERATED_FALSE_GAP,204,electricity,Điện,known alias 電気代/electricity/Điện; month vector same 12/12; same Facility business group,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",HIGH,Do not create new row; update accounting/matching method,Generated v1 Facility row 204 already represents the same electricity business cost with the same Apr-Mar values.
160,5005066282,水道代,EXACT_SOURCE_FOUND,ALREADY_GENERATED_FALSE_GAP,205,water,Nước,known alias 水道代/water/Nước; month vector same 12/12; same Facility business group,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",HIGH,Do not create new row; update accounting/matching method,Generated v1 Facility row 205 already represents the same water business cost with the same Apr-Mar values.
162,5005046281,Flash Programmer (model FP-40),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
163,5005046281,FP-10予備 （FP-10 Cortex-M3-INT）,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
164,5005046281,治具PC用の予備Hard disk/充電器cable,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
165,5005046281,"半田ゴテ FM2028-01 960,000VND",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
166,5005046281,"JIGのhinge(TH-91) 416,000VND",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
167,5005046281,静電気防止ストラップ,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
168,5005046281,Tonerセンサー半田ゴテ先,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
169,5005046281,"治具のSpring(25,871vnd)",SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
170,5005046281,FT CIS connectのFFC(2$),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
171,5005046281,ROMライター実装ベンダ支給用TEF003-48TS(FSG),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
172,5005046281,brazil FAX DL 治具改造のPart,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
173,5005046281,Tonerセンサー半田ゴテ先のPIN(20pcs日本から発送),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
